飞周兄弟 | 还不认亲？ | Racism | hate [END]
广黑吧 | 没了吗？ | Region | non-hate [END]
你 | 是不是在造谣 | non-hate | non-hate [END]
男权 | 是男女平权 | non-hate | non-hate [END]
NULL | 这很niggeг | Racism | hate [END]
你 | 这是在追求男女平等 | non-hate | non-hate [END]
中国人 | 你别以为...会吃政治正确那一套 | non-hate | non-hate [END]
中国人 | 搞不懂...为啥要吹黑人性能力 | Racism | non-hate [END]
田楠 | 就是骗婚骗炮的 | Sexism | hate [END]
这个视频 | 比较恶臭 | non-hate | non-hate [END]
答主 | 也该滚出中国 | non-hate | non-hate [END]
我 | 对异性恋的看法也是理解＋不接受 | non-hate | non-hate [END]
广东 | 常常刮台风，下大雨，最多也只是水浸街 | Region | non-hate [END]
有人 | 为了骂原，甚至会和女拳站一边吗？ | non-hate | non-hate [END]
法国 | 黑化的...也完蛋了 | Racism | hate [END]
带头的 | 属于是恰烂钱的 | non-hate | non-hate [END]
她 | 从中国公司赚取的钱越多，她的跨种族跨文化优越感就会变得越充实，就会越相信黑人的社会文化 | Racism | hate [END]
中国 | 未来可能会像阿三一样，四处黑公交 | Racism | hate [END]
它 | 建议网络安全举报网址举报它送它上西天 | non-hate | non-hate [END]
混血儿 | 聪明没有任何科学依据 | non-hate | non-hate [END]
吧主 | 希望...别犯贱乱删 | non-hate | non-hate [END]
你 | 这个南满 | Region | hate [END]
既得利益者 | 指责被剥削者了属实是 | non-hate | non-hate [END]
湖北和陕西 | 看到...我就觉得他们嘴里说什么我都不稀奇 | Region | non-hate [END]
人性 | 真的贱 | non-hate | non-hate [END]
国家 | 什么都敢整治，就是不整治这个 | non-hate | non-hate [END]
钓鱼佬 | 永不空军😜 | non-hate | non-hate [END]
亚非拉 | ◎◎◎不要说我无情 | Racism | hate [END]
地域黑 | 没新疆吗😅😅 | Region | non-hate [END]
东北人 | 也就一亿人 肯定反驳力度差 | non-hate | non-hate [END]
NULL | 是友军，但是没有加狗头，厚葬 | non-hate | non-hate [END]
西戎 北狄 南蛮 东夷 | 没一个是好听的 | Region | hate [SEP] 我大中原 | 人杰地灵?? | Region | non-hate [END]
老一辈 | 确实是这样的 | non-hate | non-hate [END]
NULL | 笑死我了智商是硬伤啊 | non-hate | non-hate [END]
我 | 就是詹姆斯的球迷 | non-hate | non-hate [END]
钕全 | 造词骂男性倒是一大堆 | Sexism | hate [END]
她们家族男性 | 這邊建議先對...進行清算以證明勇氣 | Sexism | hate [END]
杨笠们嘴里的普却信 | ❤️❤️❤️ | Sexism | hate [END]
你 | 不介意么 | non-hate | non-hate [END]
NULL | 尼说真艾可以永远~，一起去有尼的地方~ | Racism | hate [END]
白左 | 少跟他们来往 | non-hate | non-hate [END]
你 | 还不是任人鱼肉了？ | Sexism | hate [END]
南方人的祖先 | 从我们河南逃过去 | Region | non-hate [SEP] 东北 | 不抵抗，就是没有血性 | Region | non-hate [END]
身边的人 | 被默默默默三通过，弄不好还有艾滋 | others | hate [END]
我 | 好喜欢广c人说话 | Region | non-hate [END]
王者荣耀 | 要做的速速 | non-hate | non-hate [END]
新疆人被歧视 | 和其他省份人被歧视，本质上是不同的 | Region | non-hate [END]
你 | 时间久了大家都让你背锅，...再也反抗不了了 | non-hate | non-hate [END]
黑人白人看我们 | 都是黄皮 | Racism | non-hate [SEP] 我们 | 也分不太清黑人白人的样貌 | Racism | non-hate [END]
他们 | 没有智商 | non-hate | non-hate [END]
我 | 在非洲前后待过12年 | non-hate | non-hate [END]
我 | 是来加入你们的惹 | non-hate | non-hate [END]
他 | 是物种歧视 | Racism | hate [END]
中国 | 又不是男人的中国 | Sexism | non-hate [END]
中国14亿人 | 总得有点奇葩 | non-hate | non-hate [END]
你 | 在东北😄 | non-hate | non-hate [END]
你 | 是gay？ | LGBTQ | non-hate [END]
黑种人的智商，黄种人的体格 | 混的太成功啦 | Racism | hate [END]
这个老娘们和她父母 | dao了...，一命抵三命值得了 | Sexism | hate [END]
拿刀的女人 | 确实比强壮的空手男人战斗力高 | Sexism | non-hate [END]
他 | 是矮姿患者 | others | hate [END]
取向这种东西 | 在大家没有办法完全对...有清晰认知的时候，走老的路子是最好的解决办法 | non-hate | non-hate [END]
这些女的 | 都是坚定的女拳🐶 | Sexism | hate [END]
