飞周兄弟 | 还袭击 | Racism | hate [END]
NULL | 广黑吧没了？ | others | non-hate [END]
卫辉官媒 | 错误 | non-hate | non-hate [END]
NULL | 男权是男女平权 | non-hate | non-hate [END]
NULL | 这很niggeг | Racism | hate [END]
NULL | 在追求男女平等 | non-hate | non-hate [END]
NULL | 三观有问题 | others | hate [END]
中国人 | 为啥要吹黑人性能力 | Racism | hate [SEP] 女人 | 真信了谣言去找黑人了又哭天抢地 | Racism, Sexism | hate [END]
笑 | 骗婚骗炮 | Sexism | hate [END]
这个视频 | 比较恶臭 | non-hate | non-hate [END]
这位答主 | 有过法国前任 | non-hate | non-hate [END]
赞同 | 理解＋不接受 | others | non-hate [END]
广东 | 常常刮台风，下大雨 | non-hate | non-hate [END]
NULL | 为了骂原，甚至会和女拳站一边吗？ | others | hate [END]
NULL | 黑化的法国也完蛋了 | others | hate [END]
带头的 | 恰烂钱的 | non-hate | non-hate [SEP] 跟风的 | 铁nt | non-hate | non-hate [END]
她从中国公司赚取的钱越多 | 越相信黑人的社会文化 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
混血儿 | 没有任何科学依据 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 南满 | Region | hate [END]
既得利益者 | 指责被剥削者了 | non-hate | non-hate [END]
看到湖北和陕西，我就觉得他们嘴里说什么我都不稀奇 | NULL | non-hate | non-hate [END]
NULL | 男性荷尔蒙的男性折服女性 | non-hate | non-hate [END]
中国的青少年 | 把自己打扮的阴柔的要死 | Sexism | hate [END]
NULL | 钓鱼佬永不空军 | others | non-hate [END]
NULL | 不要说我无情 | others | non-hate [END]
新疆 | 没新疆吗？ | Region | non-hate [END]
东北人 | 只有一亿人 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
西戎 北狄 南蛮 东夷 | 没一个是好听的 | Region, Racism | hate [END]
年轻一代 | 不适用新一代年轻人 | non-hate | non-hate [END]
NULL | 智商是硬伤啊 | non-hate | non-hate [END]
NULL | 我就是詹姆斯的球迷 | others | non-hate [END]
NULL | 统一用这个 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
杨笠们 | 嘴里的普却信 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 去有尼的地方 | others | non-hate [END]
白左 | 要殖民我们 | Racism | hate [END]
国内大山里 | 还有买卖媳妇的情况 | Sexism | hate [SEP] 非洲 | 直接就qj，把你搞怀孕 | Sexism | hate [END]
东北人 | 从我们河南逃过去 | non-hate | non-hate [END]
